project,date,commodity,actual predicted,confidence,level,unit,per,net gross,source
Tulawaka Gold Mine,2012,Gold,Actual (sold),—,6545,oz,quarter,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2013/abg_hy2013-report-ending-30-July-2013.pdf
Tulawaka Gold Mine,2013,Gold,Actual (produced),—,4640,oz,six months,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2013/abg_hy2013-report-ending-30-July-2013.pdf
Tulawaka Gold Mine,2013,Gold,Actual (sold),—,5565,oz,six months,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2013/abg_hy2013-report-ending-30-July-2013.pdf
Tulawaka Gold Mine,2012,Gold,Actual (produced),—,18550,oz,six months,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2013/abg_hy2013-report-ending-30-July-2013.pdf
Tulawaka Gold Mine,2012,Gold,Actual (sold),—,18375,oz,six months,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2013/abg_hy2013-report-ending-30-July-2013.pdf
North Mara Gold Mine,2014,Gold,Actual (produced),—,273803,oz,year,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf
North Mara Gold Mine,2014,Gold,Actual (sold),—,274540,oz,year,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf
North Mara Gold Mine,2013,Gold,Actual (produced),—,256732,oz,year,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf
North Mara Gold Mine,2013,Gold,Actual (sold),—,260945,oz,year,gross,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf
Merelani Block C,2014,Tanzanite,Actual (produced),—,3.1,million carat,year,gross,http://www.richlandresourcesltd.com/wp-content/uploads/2015/05/Richland-Resources-2014-Annual-Report-and-Financial-Statements.pdf
Merelani Block C,2013,Tanzanite,Actual (produced),—,3.5,million carat,year,gross,http://www.richlandresourcesltd.com/wp-content/uploads/2015/05/Richland-Resources-2014-Annual-Report-and-Financial-Statements.pdf
Golden Pride Gold Mine,2014,Gold,Actual (produced),—,37989,oz,year,gross,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf
Golden Pride Gold Mine,2013,Gold,Actual (produced),—,97827,oz,year,gross,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf
Mbeya Cement,2014,Cement,Capacity,—,0.3,million tonnes,year,gross,http://www.lafarge.com/sites/default/files/atoms/files/03232015-press_publication-2014_annual_report-uk_0.pdf
Tancoal Mine,2014,Coal,Actual (produced),—,203264,tonnes,year,gross,http://www.intraenergycorp.com.au/IRM/Company/ShowPage.aspx/PDFs/1774-10000000/AnnualReporttoshareholders
Tancoal Mine,2013,Coal,Actual (produced),—,105484,tonnes,year,gross,http://www.intraenergycorp.com.au/IRM/Company/ShowPage.aspx/PDFs/1774-10000000/AnnualReporttoshareholders
New Luika Mine,2013,Gold,Actual (produced),—,64054,oz,year,gross,https://portal.mem.go.tz/site/CustomHtml.aspx?PageID=1da6ed4f-e617-4051-a220-382fea808c9b
Geita Gold Mine,2014,Gold,Actual (produced),—,477000,oz,year,gross,http://www.anglogoldashanti.com/en/Media/Reports/Quarterly%20Reports/Q12015SummaryofOperations.pdf
Geita Gold Mine,2013,Gold,Actual (produced),—,459000,oz,year,gross,http://www.anglogoldashanti.com/en/Media/Reports/Quarterly%20Reports/Q12014SupplementaryOperationalInformation.pdf
Williamson Diamond Mine,2013,Diamonds,Actual (produced),—,188465,Carats,year,gross,https://www.petradiamonds.com/wp-content/uploads/pdl-interim-results-19-02-2015-v2.pdf
